packageSlug,dayNumber,dayTitle,overnight,deluxeHotelSlug,luxuryHotelSlug
karachi-makli-thatta-day-trip,1,Karachi → Makli → Thatta → Keenjhar Lake → Karachi,Home (Karachi),,
mohen-jo-daro-2day,1,Karachi → Hala → Larkana,Larkana,,
mohen-jo-daro-2day,2,Mohen Jo Daro → Sehwan → Manchar Lake → Karachi,Home (Karachi),,
historical-sindh-3day,1,Karachi → Makli → Thatta → Keenjhar Lake → Hyderabad,Hyderabad,,
historical-sindh-3day,2,Bhit Shah → Ranikot Fort → Sehwan → Larkana,Larkana,,
historical-sindh-3day,3,Mohen Jo Daro → Hala → Karachi,Home (Karachi),,
pakistan-historical-10day,1,Karachi City Landmarks,Karachi,,
pakistan-historical-10day,2,Karachi → Makli → Thatta → Keenjhar Lake → Hyderabad,Hyderabad,,
pakistan-historical-10day,3,Bhit Shah → Ranikot → Sehwan → Larkana,Larkana,,
pakistan-historical-10day,4,Mohen Jo Daro → Sukkur,Sukkur,,
pakistan-historical-10day,5,Sukkur → Bahawalpur,Bahawalpur,,
pakistan-historical-10day,6,Bahawalpur → Derawar Fort → Bahawalpur,Bahawalpur,,
pakistan-historical-10day,7,Bahawalpur → Multan,Multan,,
pakistan-historical-10day,8,Multan → Harappa → Lahore,Lahore,,
pakistan-historical-10day,9,Lahore Walled City & Lahore Fort,Lahore,,
pakistan-historical-10day,10,Lahore → Taxila → Islamabad,Home (Islamabad),,
pakistan-historical-12day,1,Islamabad → Karachi (Flight) → Karachi City,Karachi,,
pakistan-historical-12day,2,Karachi → Makli → Thatta → Keenjhar Lake → Hyderabad,Hyderabad,,
pakistan-historical-12day,3,Bhit Shah → Ranikot → Sehwan → Larkana,Larkana,,
pakistan-historical-12day,4,Mohen Jo Daro → Hala → Karachi,Karachi,,
pakistan-historical-12day,5,Karachi → Lahore (Flight) → Lahore Walled City,Lahore,,
pakistan-historical-12day,6,Nankana Sahib → Kasur → Lahore,Lahore,,
pakistan-historical-12day,7,Lahore → Harappa → Sialkot,Sialkot,,
pakistan-historical-12day,8,Sialkot → Jhelum → Ramkot Fort,Jhelum,,
pakistan-historical-12day,9,Jhelum → Khewra Salt Mines → Katas Raj → Islamabad,Islamabad,,
pakistan-historical-12day,10,Taxila → Julian → Gurdwara Punja Sahib → Peshawar,Peshawar,,
pakistan-historical-12day,11,Sethi Museum → Qissa Khawani → Islamabad,Home (Islamabad),,
